Temperature_C,Humidity_Percent,Rainfall_mm,Soil_Nitrogen_Level,Disease_Risk
36.7,88.1,142.4,92.7,1
33.8,60.7,24.3,20.1,1
33.7,22.1,110.8,36.9,0
26.5,69.0,17.2,30.9,0
31.6,62.1,153.8,82.3,1
39.2,71.4,90.0,68.0,1
36.3,82.4,128.0,18.2,1
23.0,92.9,11.1,12.4,1
14.9,45.8,141.9,34.6,0
36.8,87.7,50.1,63.5,1
13.8,44.2,106.7,50.3,1
38.2,32.3,131.7,72.1,0
35.3,65.1,165.0,2.8,1
29.2,66.1,130.2,76.7,1
29.2,59.8,125.4,29.0,0
24.5,84.4,137.0,29.7,1
11.8,55.2,96.9,20.4,1
19.4,77.5,146.8,86.1,0
13.9,49.6,112.3,31.9,1
18.0,39.8,19.4,29.0,0
28.5,39.9,173.1,16.0,1
27.3,45.0,152.6,49.8,1
25.0,44.7,4.6,94.5,0
39.0,37.2,70.6,5.1,1
36.5,72.3,94.1,53.7,1
22.9,90.6,145.5,76.4,1
22.0,65.6,38.9,55.3,1
25.1,81.2,55.9,98.9,0
13.6,98.0,78.8,79.5,1
38.2,80.4,39.8,50.9,1
11.4,31.0,66.6,47.4,0
28.2,61.2,65.6,61.3,1
39.7,79.1,59.8,33.6,1
26.0,76.7,60.0,81.6,1
30.2,98.4,116.7,79.7,1
30.6,22.1,94.9,96.7,0
33.3,66.2,144.3,58.4,1
28.9,69.6,168.2,14.8,1
10.9,95.9,22.0,1.9,1
14.5,75.2,82.1,77.5,0
36.2,78.9,12.5,13.8,1
19.8,73.0,105.1,31.4,1
37.4,47.4,70.9,77.2,0
29.3,75.5,122.0,19.2,1
26.7,38.0,194.6,29.8,1
16.2,76.4,63.4,34.9,0
33.9,41.9,24.4,67.7,0
39.4,85.5,190.9,80.5,1
18.6,77.1,69.3,44.2,1
24.4,36.2,107.7,93.3,0
14.1,69.3,117.4,24.2,1
25.9,71.0,10.5,41.3,0
13.0,81.7,1.0,55.0,0
22.2,94.8,175.7,47.7,1
38.9,45.7,129.2,90.8,1
27.2,62.8,144.6,93.7,0
15.3,90.6,35.2,92.0,0
21.9,59.6,187.3,96.2,0
36.3,20.7,113.6,10.7,0
18.5,99.1,108.7,49.4,1
35.5,57.4,38.6,11.3,1
23.8,40.6,37.2,73.7,0
27.0,80.6,35.1,85.6,0
34.8,61.2,17.3,66.9,1
14.2,45.9,49.6,26.1,1
32.6,96.3,60.4,72.3,1
29.6,75.4,12.4,11.8,1
22.2,60.2,179.0,70.4,1
13.5,93.3,59.0,61.5,1
14.0,32.3,149.5,60.6,1
26.5,57.7,107.5,66.4,1
17.4,80.4,174.6,8.2,1
31.1,26.2,112.8,6.2,1
25.2,65.8,30.0,32.8,1
13.5,36.4,116.6,9.1,1
34.3,56.3,102.6,45.7,1
23.9,84.6,144.7,39.6,1
32.4,66.3,9.1,34.5,1
39.8,94.8,13.8,93.4,1
22.3,81.5,153.2,97.8,1
22.6,99.4,76.5,87.0,0
21.3,74.6,132.4,53.9,1
20.4,34.3,107.5,52.9,0
16.7,20.3,4.5,29.8,0
26.3,62.6,164.7,24.8,1
18.3,95.0,145.0,11.3,1
22.6,81.3,176.8,1.6,1
13.0,22.7,119.6,70.3,1
32.2,52.2,46.9,21.7,0
11.7,60.3,57.9,81.6,0
19.6,67.8,134.5,32.1,1
14.3,72.8,44.2,30.1,1
38.5,90.4,182.3,62.6,1
24.9,97.8,188.3,67.1,1
19.6,53.3,29.8,37.6,0
24.2,87.9,60.1,70.8,0
37.4,65.0,193.6,55.7,1
17.3,36.3,129.3,92.2,0
12.8,78.0,38.1,26.8,1
28.1,89.9,37.6,76.2,0
26.8,58.4,173.9,33.3,1
10.5,95.0,192.4,11.7,0
24.4,39.4,120.9,20.5,0
26.6,82.0,76.1,53.4,1
17.8,61.0,99.5,9.9,0
24.1,87.2,182.9,37.1,1
26.9,37.7,29.2,26.1,0
27.4,53.4,30.5,33.0,1
35.0,59.9,130.9,68.5,1
34.6,97.3,128.3,49.1,1
33.8,33.5,144.1,48.8,0
26.3,71.3,11.7,3.4,1
38.4,73.5,152.9,41.2,1
16.9,76.6,1.8,50.6,1
28.5,73.3,123.3,48.3,1
10.2,64.1,2.4,52.9,0
39.3,21.4,162.6,67.4,0
37.3,28.6,19.3,14.9,1
25.8,85.2,53.5,39.7,1
22.2,65.2,198.0,22.6,1
35.4,72.3,171.6,76.0,1
21.4,64.2,11.2,0.9,1
25.0,54.7,156.9,56.6,0
12.9,62.3,8.5,21.1,0
36.6,58.0,9.3,7.4,0
37.0,65.1,6.6,92.9,0
38.8,67.0,150.5,71.3,1
12.3,33.0,48.1,83.5,0
36.9,46.5,151.1,14.0,0
31.7,60.1,194.9,5.4,1
35.2,47.2,153.8,95.5,1
33.2,22.4,54.7,99.3,0
20.7,95.3,86.4,68.0,1
12.6,69.5,159.6,71.3,1
14.6,76.9,126.8,74.0,1
13.2,20.4,61.7,36.0,0
14.0,35.0,89.8,55.5,0
10.8,48.3,18.6,59.8,0
21.6,43.3,77.6,8.5,0
37.2,98.3,114.4,17.0,1
14.2,44.1,98.6,6.3,1
22.6,58.7,15.4,25.2,1
28.8,67.5,39.1,10.7,1
38.5,46.6,124.0,80.4,1
20.0,85.2,171.9,97.4,1
19.6,95.8,40.2,31.4,0
39.1,43.3,139.0,49.1,1
17.3,50.1,163.3,39.3,1
26.9,67.4,109.1,68.2,1
38.6,56.9,141.7,43.8,1
30.8,85.5,159.1,40.9,1
29.0,39.4,131.7,71.5,0
12.2,99.3,95.8,40.1,1
37.6,75.3,108.7,79.1,1
36.9,63.0,127.6,8.5,1
29.7,48.4,129.4,4.4,0
30.3,52.0,150.5,96.6,1
10.3,40.7,102.1,51.9,0
27.3,55.7,78.2,77.2,0
25.0,47.6,4.9,10.5,1
38.9,29.3,188.1,14.2,1
23.7,36.5,96.6,47.6,1
30.9,45.5,60.1,81.0,1
35.5,71.8,135.4,16.4,1
17.3,34.0,32.0,56.0,0
17.0,52.4,36.9,64.0,0
10.9,69.1,39.5,59.2,0
31.1,36.5,150.5,80.9,1
13.1,89.8,37.4,32.6,1
17.9,89.0,105.5,63.9,1
28.3,67.0,69.6,84.6,0
34.4,76.5,59.5,61.4,1
14.0,29.4,61.1,18.3,0
25.3,53.5,27.6,38.4,1
29.1,75.5,129.1,100.0,1
24.7,31.2,62.9,45.1,1
20.8,20.8,27.3,81.5,0
25.2,59.6,136.9,41.6,1
24.7,26.6,6.2,76.1,0
18.2,63.0,33.6,45.7,0
33.0,64.0,22.6,11.4,1
34.7,49.3,164.5,4.2,1
26.4,99.2,20.5,83.0,0
18.9,99.9,89.9,34.9,1
23.2,99.5,155.1,23.7,1
27.6,48.1,142.2,63.3,1
14.2,36.5,41.4,5.9,1
18.4,63.1,64.7,70.4,1
18.0,88.6,197.1,67.9,1
38.9,82.9,183.8,99.2,1
13.8,89.3,49.9,71.1,0
32.8,74.1,97.9,57.7,1
22.4,56.2,126.7,88.0,1
25.5,42.3,187.3,36.9,0
19.8,20.2,154.8,73.3,0
23.8,73.1,71.6,6.3,1
16.5,54.4,42.4,26.9,0
20.1,66.2,113.2,48.5,1
30.5,23.9,19.9,78.4,0
13.7,88.6,88.3,0.1,1
16.1,75.1,26.4,65.0,1
38.0,41.9,130.9,25.0,1
37.1,33.2,79.3,30.6,0
17.0,72.4,140.7,0.1,1
14.0,38.1,136.0,0.9,1
34.5,99.1,84.5,13.2,1
21.5,78.5,20.5,31.3,0
14.1,81.9,150.6,13.3,0
14.3,62.4,1.7,65.0,0
31.7,70.2,30.3,41.2,1
35.8,26.9,20.1,75.2,0
21.5,97.1,62.9,14.0,1
12.5,64.3,120.0,60.8,0
30.7,87.8,131.7,30.2,1
25.3,79.8,59.1,5.5,1
38.6,59.6,22.5,50.0,0
25.8,98.2,197.4,93.4,1
35.8,65.5,73.1,68.3,0
38.6,81.6,3.3,6.8,1
11.2,24.8,157.9,50.7,0
25.0,53.2,140.4,8.2,1
28.5,42.2,62.0,51.1,1
34.2,62.9,78.1,63.4,0
30.4,25.3,139.7,73.0,0
11.7,26.9,86.9,45.3,0
19.3,79.3,148.1,11.9,1
31.0,33.1,190.6,52.3,1
31.6,33.4,25.4,78.1,0
36.6,81.7,5.9,80.7,1
11.9,77.0,115.3,7.7,1
20.8,60.0,113.4,36.8,1
13.1,65.9,144.6,22.8,1
11.3,89.0,48.9,47.2,1
14.5,94.5,171.5,55.3,1
32.2,53.5,64.4,41.6,0
18.1,26.2,74.6,50.2,0
15.4,84.3,196.3,95.4,1
24.0,42.6,169.0,32.7,1
10.2,36.1,112.8,30.4,0
23.9,67.3,98.7,77.3,1
37.0,80.8,49.0,0.6,1
17.0,47.7,167.9,87.7,0
10.0,72.6,169.8,72.7,1
25.9,39.1,98.4,6.0,0
31.3,27.4,184.3,89.7,0
31.0,49.8,194.9,8.5,1
14.0,85.6,15.0,56.8,1
38.9,38.9,52.2,31.5,0
31.0,78.8,63.6,27.2,1
16.1,82.4,116.9,15.5,1
24.0,52.5,107.2,96.5,1
19.2,41.2,24.0,15.8,0
34.8,75.8,8.1,83.6,0
12.7,39.9,71.1,51.3,0
17.8,99.3,6.2,40.4,1
32.4,40.0,92.4,80.4,1
10.4,86.4,196.5,13.1,1
21.2,70.4,128.9,58.2,1
34.4,21.7,12.9,90.2,0
13.9,92.4,165.9,33.2,1
23.8,33.4,114.8,82.2,0
10.9,74.7,34.6,21.5,1
18.4,90.7,6.9,61.9,1
18.9,53.0,110.1,6.1,1
14.1,36.0,176.9,52.6,1
34.1,83.6,197.9,78.2,1
26.3,58.8,182.5,50.2,1
15.4,45.5,43.8,89.6,0
11.8,99.3,105.9,76.7,0
39.2,28.0,131.4,26.7,1
37.5,24.5,199.3,21.9,1
33.9,48.4,167.8,84.5,1
27.8,84.5,139.5,91.4,1
31.0,95.8,112.7,56.3,1
39.6,90.5,98.4,30.9,1
12.7,38.6,43.8,52.6,1
37.5,36.1,26.1,71.7,0
35.3,45.9,4.4,58.7,0
33.2,87.7,172.1,96.1,1
38.3,51.6,20.2,30.2,1
14.7,95.9,158.4,96.1,1
15.2,97.5,138.7,92.9,1
16.7,67.1,35.1,30.7,0
13.8,78.3,189.8,94.9,1
39.8,97.2,6.5,60.2,0
39.0,37.7,113.1,93.7,1
32.4,39.0,196.5,16.8,1
12.7,76.7,127.8,88.7,1
18.0,40.0,13.6,25.7,1
10.0,50.9,146.5,96.9,0
24.8,50.3,109.2,10.1,1
35.9,72.1,137.4,16.3,1
35.4,43.6,63.7,95.2,1
15.1,50.0,146.4,54.7,0
12.8,67.5,122.7,48.3,1
38.3,33.2,178.0,15.7,1
16.2,35.2,139.4,72.2,0
18.0,42.5,47.5,5.0,1
35.2,32.3,72.2,42.8,1
29.9,68.0,39.9,2.6,1
18.8,26.6,168.8,30.8,1
24.7,72.9,18.2,54.4,1
36.6,49.6,89.2,26.3,1
16.8,41.5,12.3,75.2,0
12.6,47.5,108.3,97.1,0
26.6,87.3,163.7,41.9,1
36.0,58.0,176.3,47.6,1
37.1,77.1,100.4,90.0,0
30.3,69.6,24.1,75.7,1
39.5,97.8,161.7,12.6,1
39.6,54.8,199.5,62.7,1
17.7,92.9,182.8,6.7,1
21.9,46.1,55.2,45.8,0
33.6,69.8,104.5,42.0,1
14.4,67.0,151.7,94.0,0
26.9,28.1,57.2,53.6,0
22.3,50.6,97.1,60.9,1
18.3,31.5,121.7,69.4,1
36.7,46.5,47.5,74.6,0
36.9,21.6,163.5,30.3,1
24.7,75.7,19.6,86.9,1
39.2,55.4,165.2,26.9,1
29.4,35.0,42.3,82.4,0
32.8,89.4,164.2,51.5,1
19.3,60.5,27.1,85.1,0
10.9,35.4,166.6,83.7,1
23.7,93.4,140.9,27.4,1
25.2,70.8,24.8,3.1,1
27.8,34.2,174.1,58.7,1
14.9,91.6,149.8,68.9,1
21.6,33.0,114.5,96.5,0
29.4,74.2,53.8,41.0,1
33.4,81.4,1.8,91.2,0
28.0,20.7,50.5,80.5,0
39.0,71.4,84.8,37.6,1
17.6,57.3,135.4,82.4,1
13.1,60.9,132.5,84.3,1
29.4,68.7,59.7,10.8,1
39.7,71.2,172.3,26.1,1
36.8,43.9,30.0,76.5,0
34.2,84.2,120.0,66.1,1
31.6,72.4,199.5,25.9,1
21.6,22.8,141.6,57.2,1
31.8,37.8,106.9,78.5,0
30.2,60.6,169.1,84.1,0
15.4,27.8,25.6,25.9,0
32.9,34.6,135.9,33.6,1
20.7,79.5,61.4,78.8,1
17.8,43.5,170.2,47.1,0
27.5,95.5,14.2,88.9,0
36.0,50.5,59.7,5.4,1
14.1,36.0,81.8,56.9,0
23.7,45.3,143.1,77.9,0
28.9,34.1,126.9,0.5,1
32.8,33.5,152.9,49.0,1
12.6,69.2,126.7,40.3,0
21.5,23.0,39.9,37.3,1
19.7,86.7,38.1,67.7,0
17.5,75.5,68.9,12.9,1
27.7,33.4,164.8,29.8,1
31.8,67.7,67.6,88.8,0
20.3,92.1,71.9,18.8,1
37.5,52.3,45.7,72.7,1
32.0,67.2,33.8,36.7,1
11.1,90.1,51.2,53.5,1
39.8,73.0,130.7,2.0,1
22.5,50.4,109.5,47.4,1
30.9,70.4,60.2,66.2,0
18.1,68.5,27.4,83.1,1
31.6,29.4,22.8,10.6,1
16.0,41.0,104.6,20.2,1
18.9,23.2,99.3,20.8,0
19.9,20.2,134.3,90.7,0
30.1,31.9,18.0,51.2,0
13.0,40.5,46.2,98.9,0
23.9,28.0,34.9,3.9,1
34.0,45.0,147.7,9.5,1
11.4,88.2,132.7,17.1,1
23.1,69.7,175.7,9.3,1
15.5,52.1,192.5,27.2,1
35.5,84.0,129.8,79.7,1
30.9,24.7,188.5,15.9,1
27.7,84.2,135.7,18.1,1
20.8,22.3,136.9,83.9,0
13.9,93.6,22.6,41.1,1
17.8,45.1,140.9,67.8,0
27.3,65.2,195.6,67.0,1
25.7,76.0,19.0,66.2,1
20.4,74.1,77.0,83.9,0
39.6,24.4,128.7,15.7,1
35.6,89.6,15.0,49.2,1
